player_id,name,bucket,sg_off_tee,sg_approach,sg_arg,sg_putting,driving_distance,driving_accuracy,gir,scrambling,par5_scoring,bogey_avoidance,double_bogey_rate,cut_rate,masters_history,augusta_correlated,majors_perf,field_adjusted_finish,odds_win,odds_top5,odds_top10,recent_finishes
B01_P1,Scottie Scheffler,1,-0.157,-0.334,-0.124,-0.015,290.7,0.696,0.723,0.598,4.504,0.817,0.032,0.94,-0.139,-0.228,-0.412,-0.398,0.0659,0.114,0.3619,40;45;18;6;1;51;19;5
B01_P2,Rory McIlroy,1,0.502,-0.181,0.209,-0.574,294.7,0.593,0.648,0.525,4.549,0.846,0.026,0.768,-0.626,-0.516,0.054,-0.204,0.0643,0.2119,0.2253,20;28;18;1;49;20;10;26
B01_P3,Xander Schauffele,1,0.328,-0.353,0.507,0.519,294.3,0.688,0.63,0.532,4.598,0.803,0.036,0.98,0.259,0.077,0.299,-0.156,0.098,0.1098,0.3573,17;37;26;21;54;10;50;10
B01_P4,Bryson DeChambeau,1,0.478,-0.045,0.483,-0.027,309.8,0.675,0.629,0.535,4.508,0.853,0.049,0.98,0.593,0.667,0.085,-0.704,0.094,0.3231,0.4546,24;49;43;22;32;37;33;47
B01_P5,Jon Rahm,1,0.258,0.014,0.529,0.363,300.0,0.552,0.654,0.585,4.628,0.876,0.034,0.98,-0.501,0.262,-0.284,0.601,0.0388,0.2411,0.3053,9;53;12;44;20;17;27;54
B02_P1,Cameron Young,2,-0.303,-0.188,0.037,0.156,302.9,0.588,0.673,0.581,4.462,0.889,0.036,0.782,0.324,-0.581,-0.491,0.981,0.0598,0.1586,0.1237,13;1;37;30;52;29;13;23
B02_P2,Tommy Fleetwood,2,-0.425,0.421,0.57,-0.043,304.0,0.619,0.667,0.646,4.603,0.839,0.044,0.842,0.137,0.592,-0.053,-0.051,0.087,0.2399,0.1678,34;45;14;15;29;45;43;11
B02_P3,Chris Gotterup,2,-0.241,0.666,0.149,-0.045,316.7,0.631,0.705,0.648,4.463,0.855,0.033,0.894,0.06,0.091,0.613,-0.757,0.0872,0.1265,0.1603,46;28;37;54;13;8;28;19
B02_P4,Russell Henley,2,0.211,0.263,0.145,0.318,317.7,0.555,0.722,0.527,4.518,0.879,0.046,0.835,-0.37,0.287,-0.752,0.514,0.0291,0.1049,0.13,54;43;26;20;45;21;4;18
B02_P5,Ludvig Aberg,2,0.729,0.792,-0.428,0.543,314.8,0.702,0.69,0.599,4.497,0.825,0.021,0.831,0.433,0.983,-0.416,0.593,0.0961,0.1113,0.3787,19;18;27;22;17;51;44;34
B03_P1,Matt Fitzpatrick,3,0.575,0.187,-0.199,-0.532,305.6,0.63,0.644,0.599,4.577,0.836,0.02,0.823,-0.133,-0.605,0.283,-0.031,0.0268,0.1948,0.2824,25;54;4;28;14;45;52;14
B03_P2,Collin Morikawa,3,0.272,0.266,0.405,-0.338,298.6,0.589,0.719,0.638,4.545,0.85,0.032,0.881,0.442,0.117,0.192,-0.444,0.0199,0.1677,0.3978,14;20;36;46;39;26;39;35
B03_P3,Hideki Matsuyama,3,-0.418,0.671,-0.315,0.261,303.4,0.601,0.716,0.578,4.621,0.826,0.037,0.915,0.302,0.91,0.333,-0.384,0.0805,0.2894,0.4421,21;22;5;46;35;44;10;2
