player_id,name,bucket,sg_off_tee,sg_approach,sg_arg,sg_putting,driving_distance,driving_accuracy,gir,scrambling,par5_scoring,bogey_avoidance,double_bogey_rate,cut_rate,masters_history,augusta_correlated,majors_perf,field_adjusted_finish,odds_win,odds_top5,odds_top10,recent_finishes
B01_P1,Scottie Scheffler,1,0.4,0.6,0.2,0.1,305,0.62,0.69,0.58,4.52,0.85,0.03,0.82,0.2,0.1,0.15,0.12,0.06,0.22,0.35,12;5;8;2;18;10;4;15
B02_P1,Rory McIlroy,2,0.4,0.6,0.2,0.1,305,0.62,0.69,0.58,4.52,0.85,0.03,0.82,0.2,0.1,0.15,0.12,0.06,0.22,0.35,12;5;8;2;18;10;4;15
B03_P1,Jon Rahm,3,0.4,0.6,0.2,0.1,305,0.62,0.69,0.58,4.52,0.85,0.03,0.82,0.2,0.1,0.15,0.12,0.06,0.22,0.35,12;5;8;2;18;10;4;15
B04_P1,Xander Schauffele,4,0.4,0.6,0.2,0.1,305,0.62,0.69,0.58,4.52,0.85,0.03,0.82,0.2,0.1,0.15,0.12,0.06,0.22,0.35,12;5;8;2;18;10;4;15
B05_P1,Ludvig Aberg,5,0.4,0.6,0.2,0.1,305,0.62,0.69,0.58,4.52,0.85,0.03,0.82,0.2,0.1,0.15,0.12,0.06,0.22,0.35,12;5;8;2;18;10;4;15
B06_P1,Collin Morikawa,6,0.4,0.6,0.2,0.1,305,0.62,0.69,0.58,4.52,0.85,0.03,0.82,0.2,0.1,0.15,0.12,0.06,0.22,0.35,12;5;8;2;18;10;4;15
B07_P1,Justin Thomas,7,0.4,0.6,0.2,0.1,305,0.62,0.69,0.58,4.52,0.85,0.03,0.82,0.2,0.1,0.15,0.12,0.06,0.22,0.35,12;5;8;2;18;10;4;15
B08_P1,Viktor Hovland,8,0.4,0.6,0.2,0.1,305,0.62,0.69,0.58,4.52,0.85,0.03,0.82,0.2,0.1,0.15,0.12,0.06,0.22,0.35,12;5;8;2;18;10;4;15
B09_P1,Hideki Matsuyama,9,0.4,0.6,0.2,0.1,305,0.62,0.69,0.58,4.52,0.85,0.03,0.82,0.2,0.1,0.15,0.12,0.06,0.22,0.35,12;5;8;2;18;10;4;15
B10_P1,Patrick Cantlay,10,0.4,0.6,0.2,0.1,305,0.62,0.69,0.58,4.52,0.85,0.03,0.82,0.2,0.1,0.15,0.12,0.06,0.22,0.35,12;5;8;2;18;10;4;15
B11_P1,Tommy Fleetwood,11,0.4,0.6,0.2,0.1,305,0.62,0.69,0.58,4.52,0.85,0.03,0.82,0.2,0.1,0.15,0.12,0.06,0.22,0.35,12;5;8;2;18;10;4;15
B12_P1,Sungjae Im,12,0.4,0.6,0.2,0.1,305,0.62,0.69,0.58,4.52,0.85,0.03,0.82,0.2,0.1,0.15,0.12,0.06,0.22,0.35,12;5;8;2;18;10;4;15
B13_P1,Wyndham Clark,13,0.4,0.6,0.2,0.1,305,0.62,0.69,0.58,4.52,0.85,0.03,0.82,0.2,0.1,0.15,0.12,0.06,0.22,0.35,12;5;8;2;18;10;4;15
